,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EIF3J,1.31E-49,0.251576,0.987,0.627,3.47E-45,0,EIF3J
HINT1,6.28E-49,0.263985,0.988,0.637,1.67E-44,0,HINT1
POLR2L,2.51E-48,0.266359,0.78,0.527,6.67E-44,0,POLR2L
CAMTA1,4.33E-48,0.262366,0.985,0.653,1.15E-43,0,CAMTA1
ATP5MG,7.93E-48,0.30142,0.989,0.658,2.11E-43,0,ATP5MG
NDUFS5,8.68E-44,0.299309,0.996,0.684,2.31E-39,0,NDUFS5
BMPR2,2.38E-43,0.324429,0.67,0.511,6.32E-39,0,BMPR2
RPL27A,5.03E-43,0.284396,1,0.981,1.34E-38,0,RPL27A
RPL23,1.14E-41,0.299811,1,0.964,3.04E-37,0,RPL23
SAT1,2.39E-41,0.279427,1,0.839,6.35E-37,0,SAT1
ATP5F1E,2.31E-38,0.41307,1,0.796,6.15E-34,0,ATP5F1E
MORF4L1,9.52E-37,0.258613,0.992,0.677,2.53E-32,0,MORF4L1
RPL38,1.24E-34,0.267867,1,0.96,3.29E-30,0,RPL38
PTPRM,1.33E-33,0.285178,0.611,0.484,3.54E-29,0,PTPRM
S100A10,1.53E-25,0.553242,0.347,0.313,4.07E-21,0,S100A10
RPS17,2.25E-20,0.282208,1,0.905,5.97E-16,0,RPS17
DOCK4,2.47E-06,0.420698,0.38,0.446,0.065579,0,DOCK4
IFI27,3.30E-06,0.402596,0.358,0.402,0.087736,0,IFI27
PICALM,0.000406,0.269527,0.33,0.492,1,0,PICALM
